place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp
2,2,1,2,2002,0,1,0,-1,-1,-1,-1
2,1,1,2,1993,5,1,0,-1,-1,-1,-1
2,1,2,1,1959,0,1,0,-1,-1,-1,-1
3,1,2,2,1994,0,1,0,-1,-1,-1,-1
4,1,1,1,1996,0,1,0,-1,-1,0,-1
5,2,2,2,1930,9,1,0,-1,-1,0,-1
6,1,3,1,1995,9,1,0,-1,-1,0,-1
6,1,3,1,1966,1,1,0,-1,-1,0,-1
2,1,3,1,1993,0,1,8,-1,-1,0,-1
1,1,3,1,1968,5,1,8,-1,-1,0,-1
6,2,2,2,1978,5,1,8,-1,-1,0,-1
1,1,2,1,1984,1,1,8,-1,-1,0,-1
8,1,2,1,1997,5,1,0,-1,-1,0,-1
6,1,1,1,1998,5,1,8,-1,-1,0,-1
9,2,4,1,1999,5,1,0,-1,-1,0,-1
6,1,1,2,1936,5,1,8,-1,-1,-1,-1
3,1,2,1,1991,4,1,0,-1,-1,-1,-1
2,1,1,1,1996,1,1,8,-1,-1,0,-1
5,1,2,1,1985,1,1,8,-1,-1,0,-1
4,1,1,1,1953,5,1,0,-1,-1,-1,-1
1,1,2,1,2000,5,1,8,-1,0,0,-1
2,1,3,2,1967,5,1,0,-1,0,0,-1
3,1,2,2,1999,2,1,0,-1,0,0,-1
6,1,3,1,1969,1,2,6,-1,-1,-1,-1
2,1,2,1,1995,5,1,0,-1,0,0,-1
1,3,3,1,1970,0,8,0,-1,2,3,1
4,1,2,1,1963,5,1,0,-1,-1,-1,-1
5,1,3,1,1988,0,2,6,-1,-1,-1,-1
2,1,2,1,1990,5,1,8,-1,0,0,-1
3,2,3,1,1992,5,1,8,-1,0,0,-1
6,2,2,1,1997,5,1,8,-1,0,0,-1
5,1,3,1,1975,9,1,8,-1,-1,-1,-1
1,1,2,1,1971,9,1,8,-1,-1,-1,-1
4,3,3,2,1946,0,0,-1,-1,3,3,1
2,1,2,2,2000,5,2,8,-1,-1,-1,-1
3,3,3,2,1999,1,0,-1,-1,2,3,1
6,1,2,1,1975,1,8,0,-1,-1,0,-1
5,3,1,1,2002,2,8,0,-1,2,3,1
4,1,4,1,1980,1,1,0,-1,-1,-1,-1
1,2,1,1,2015,0,1,0,-1,-1,0,-1
2,1,4,2,1985,1,1,0,-1,-1,0,-1
3,1,1,2,1998,9,1,0,-1,-1,-1,-1
6,1,1,1,2000,1,2,0,-1,-1,-1,-1
6,3,1,1,1998,0,8,0,-1,2,3,1
6,1,1,1,1981,1,1,8,-1,-1,-1,-1
6,1,1,1,1970,0,1,8,-1,-1,-1,-1
6,1,1,1,1989,0,2,8,-1,-1,-1,-1
6,1,1,1,1976,0,3,0,-1,0,0,-1
6,1,1,1,1974,9,1,0,-1,0,0,-1
6,1,1,1,1983,1,1,0,-1,0,0,-1
